,Director_ID,Director
0,0,Bobcat Goldthwait
1,1,Greg Whiteley
2,2,Tony Craig
3,3,Jamie Mitchell
4,4,Vincent Grashaw
5,5,Douglas McCarthy
6,6,Will Gluck
7,7,Christophe Honoré
8,8,Dave Stewart
9,9,Markus Imboden
10,10,Bethany Ashton Wolf
11,11,Jay Karas
12,12,David Briggs
13,13,Brittany Goodwin
14,14,Piotr Domalewski
15,15,Sam Liu
16,16,Fritz Böhm
17,17,Rob W. King
18,18,Miguel 'M.i.G.' Martinez
19,19,Pat Mills
20,20,Nicholas Schrunk
21,21,Jason Hehir
22,22,Stephen C. Sepher
23,23,Kaspar Astrup Schröder
24,24,John Schultz
25,25,Roseanne Liang
26,26,Scott Cooper
27,27,Wes Ball
28,28,Christian Gudegast
29,29,Hoon-jung Park
30,30,Jake Kasdan
31,31,Mark Waters
32,32,Álex de la Iglesia
33,33,Barry Levinson
34,34,Gustav Deutsch
35,35,Makoto Shinkai
36,36,JR
37,37,Steven Spielberg
38,38,Naoto Kumazawa
39,39,Takahiro Miki
40,40,Lynne Ramsay
41,41,Karen Moncrieff
42,42,David Leveaux
43,43,Vivienne De Courcy
44,44,István Szabó
45,45,Tom Konkle
46,46,Lynn Shelton
47,47,Heber Cannon
48,48,Cameron Crowe
49,49,Mitch Davis
50,50,Jeffrey C. Bell
51,51,Nicolai Fuglsig
52,52,Jaume Collet-Serra
53,53,Mikhail Red
54,54,Lucky McKee
55,55,Jed Rothstein
56,56,Israel Adrián Caetano
57,57,Olivia Newman
58,58,Yûji Shimomura
59,59,W.D. Hogan
60,60,Michael Haneke
61,61,Hirokazu Koreeda
62,62,Hiromasa Yonebayashi
63,63,Adam Rifkin
64,64,John Carroll Lynch
65,65,Paul Thomas Anderson
66,66,Aaron Sorkin
67,67,Lars Kraume
68,68,Takashi Miike
69,69,Lynsey Miller
70,70,Eshom Nelms
71,71,Jan Verheyen
72,72,Yukiko Mishima
73,73,Kiyoshi Kurosawa
74,74,Sophie Fiennes
75,75,Ridley Scott
76,76,Jason Kwan
77,77,Anders Walter
78,78,Michael Larnell
79,79,Paul McGuigan
80,80,Amy Berg
81,81,Robert Collector
82,82,Naomi Kawase
83,83,Britta Sjogren
84,84,Lance Malbon
85,85,Michael Gracey
86,86,Richie Adams
87,87,Zak Bagans
88,88,Nick Ebeling
89,89,Jakob M. Erwa
90,90,Todd Haynes
91,91,James D. Solomon
92,92,Daniel Raim
93,93,Andrea Marini
94,94,Soi Cheang
95,95,Tatsuma Minamikawa
96,96,Zhangke Jia
97,97,Woody Allen
98,98,Ming-liang Tsai
99,99,Paul Crompton
100,100,Annekatrin Hendel
101,101,Agustí Villaronga
102,102,Daniel Barnz
103,103,Alex Garland
